"FIPS","state","county","percentage16_Donald_Trump","percentage16_Hillary_Clinton","total_votes16","votes16_Donald_Trump","votes16_Hillary_Clinton","percentage20_Donald_Trump","percentage20_Joe_Biden","total_votes20","votes20_Donald_Trump","votes20_Joe_Biden","lat","long","cases","deaths","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","RUCC_code","UBI_code","Less.than.a.high.school.diploma..2014.18","High.school.diploma.only..2014.18","Some.college.or.associate.s.degree..2014.18","Bachelor.s.degree.or.higher..2014.18","Percent.of.adults.with.less.than.a.high.school.diploma..2014.18","Percent.of.adults.with.a.high.school.diploma.only..2014.18","Percent.of.adults.completing.some.college.or.associate.s.degree..2014.18","Percent.of.adults.with.a.bachelor.s.degree.or.higher..2014.18","tot_poveri","perc_poveri","estimated_median_household_income","county_area_sq_mi","pop_density"
"01067","AL","Henry",0.701,0.285,8017,5623,2286,0.712,0.279,9266,6593,2589,31.51148016,-85.24267944,747,6,17110,8208,8902,2.5,68.7,27.8,0,0,0,13377,45569,3006,23983,1525,13.7,17.2,32.8,19,19.4,11,17.8,85.9,7.5,0,0.7,3.3,2.6,25.6,6949,80.5,14.7,4.8,0.1,6.7,3,2,2412,4081,3487,2187,19.8,33.5,28.7,18,3037,17.9,46027,561.75,30.4583889630619
"01069","AL","Houston",0.727,0.251,42030,30567,10547,0.708,0.278,45750,32384,12738,31.15197924,-85.29939599,4320,35,104108,49905,54203,3.2,67.2,26.5,0.3,0.8,0,78486,42803,919,24781,391,18.5,29.5,31.1,18.6,25.7,10.2,14.3,89.2,6.9,0.1,0.7,0.8,2.3,21.3,44108,81.9,12.1,5.8,0.2,7.6,3,2,10261,22680,23681,15076,14.3,31.6,33,21,17032,16.5,47993,579.82,179.552274843917
"01071","AL","Jackson",0.801,0.176,20785,16643,3663,0.832,0.157,23602,19644,3709,34.78144169,-85.99750489,2347,19,52326,25712,26614,2.9,89.3,3.2,1,0.5,0.1,40672,39281,1994,20946,910,19,27.4,26.1,12.9,21.5,11.3,28.1,87,8.4,0.1,1.3,0.9,2.3,25.7,20261,77.4,15.5,7,0.2,7.7,6,5,6526,15181,10238,5280,17.5,40.8,27.5,14.2,10046,19.7,41929,1077.87,48.5457429931253
"01073","AL","Jefferson",0.45,0.522,290111,130614,151581,0.426,0.557,324675,138443,180936,33.55554728,-86.895063,24472,388,659460,312333,347127,3.7,50.4,42.4,0.2,1.5,0,491022,49321,913,29456,452,17.6,25.6,38.8,16.9,25.3,7.3,11.6,84.4,9.4,0.9,1.4,1,2.8,23.8,300739,81.8,13.5,4.5,0.2,7.7,1,1,46025,120037,137208,145462,10.3,26.8,30.6,32.4,103604,16.1,55013,1111.28,593.423799582464
"01075","AL","Lamar",0.84,0.149,6931,5819,1035,0.858,0.136,7187,6168,978,33.77995024,-88.09668032,534,6,14021,6875,7146,1.5,86,10.8,0.3,0,0,10888,36016,2778,21152,2374,23.1,37.3,28.8,14.5,18.9,13.4,24.4,84.4,13.8,0.6,0.2,0.1,1,28.1,5376,76.6,18.5,3.8,1,7.9,8,7,1741,3950,2967,1235,17.6,39.9,30,12.5,2374,17.4,40936,604.85,23.1809539555262
"01077","AL","Lauderdale",0.715,0.254,38813,27735,9877,0.715,0.269,44149,31578,11872,34.90171875,-87.65624729,2743,43,92590,44263,48327,2.5,84.9,9.8,0.4,0.7,0,72887,44888,1370,25803,908,16.3,21.9,31.2,18.6,24.4,10.6,15.2,88,7.7,0.2,1.7,0.7,1.8,24.1,39857,77.6,15.6,6.6,0.1,6.6,3,2,7979,22812,17453,15185,12.6,36,27.5,23.9,12645,14,48707,667.7,138.670061404823
"01079","AL","Lawrence",0.734,0.247,14623,10732,3611,0.769,0.222,15957,12266,3544,34.52041498,-87.31069453,941,33,33288,16164,17124,2.1,76.6,11.4,5.2,0.1,0,25915,43779,3181,22419,1154,16.6,19,23.6,15.4,18.4,15,27.5,86.6,9.3,0.1,0.9,0.5,2.5,28,12476,80.6,14.2,4.8,0.4,7.2,3,2,4919,9710,6028,2738,21,41.5,25.8,11.7,6297,19.3,43909,690.68,48.195980772572
"01081","AL","Lee",0.595,0.364,57668,34321,20987,0.592,0.389,70980,42019,27600,32.60154883,-85.35132246,6715,65,156597,77172,79425,3.7,67.6,22.9,0.1,3.8,0,117422,47564,1712,26170,938,22,24,41,16.6,22.7,7.1,12.6,84.7,8.1,0.8,1.9,1,3.5,22.2,71677,77.1,18.3,4.4,0.2,5.7,3,2,9049,22855,30707,32377,9.5,24.1,32.3,34.1,30075,19,48937,607.54,257.755867926392
"01083","AL","Limestone",0.732,0.237,39400,28824,9340,0.704,0.277,48754,34337,13510,34.81185586,-86.98310072,3108,34,91695,45889,45806,5.8,77.2,13.1,0.7,1.2,0,68544,52831,2263,26685,1095,14.8,20,36.1,15.5,21.5,11.3,15.7,88.3,7.5,0.1,0.5,0.8,2.8,25.7,38944,77.3,16.3,6.2,0.2,7.1,2,2,10123,19463,18341,16367,15.7,30.3,28.5,25.5,10633,11.4,64863,559.94,163.758616994678
"01085","AL","Lowndes",0.262,0.731,6676,1751,4882,0.269,0.727,6830,1835,4968,32.1597283,-86.65158371,728,29,10362,4896,5466,0.7,24.3,74.4,0.1,0,0,7973,29785,4076,18976,2109,30.2,48.4,23,17.4,21.6,11.5,26.5,84.4,11.1,0.4,0.3,1.9,1.8,30.3,3533,79.3,16.4,3.4,0.9,11.2,2,2,1588,2722,1750,996,22.5,38.6,24.8,14.1,2474,25.1,33973,715.91,14.4738863823665
"01087","AL","Macon",0.159,0.827,8748,1394,7237,0.177,0.815,8697,1539,7084,32.38759944,-85.69267724,565,21,19358,8933,10425,1.6,15.5,81.5,0.2,0.2,0,15760,32308,2946,19564,1121,25.9,39.3,29.4,24,19.5,7.6,19.6,79.3,10.6,1,6.2,1.4,1.6,22.5,7348,77.7,17.3,4.8,0.2,14.5,6,6,2215,3658,3752,2510,18.3,30.1,30.9,20.7,5031,30.2,32495,608.89,31.792277751318
"01089","AL","Madison",0.559,0.392,159473,89199,62435,0.528,0.448,193955,102395,86885,34.76327133,-86.55069633,9787,101,353213,172568,180645,4.7,65.1,24,0.6,2.5,0.1,265022,61318,1430,34232,709,13.6,20,46.3,15.2,21.6,6.4,10.5,87.7,6.3,0.2,0.8,1.5,3.4,21.3,169756,76.3,19,4.5,0.2,6.5,2,2,21617,50768,69750,101650,8.9,20.8,28.6,41.7,42667,11.9,63755,801.59,440.640477051859
"01091","AL","Marengo",0.477,0.512,10948,5224,5607,0.49,0.503,10882,5337,5476,32.24767634,-87.78796182,1066,23,19743,9235,10508,0.4,45.1,54.1,0.1,0,0,15131,32255,3045,22996,3092,25.6,36.5,29.6,17.6,20.5,11.4,20.9,88,5.7,0,1.2,2.3,2.8,25.5,6645,77.6,17.1,4.5,0.8,12.8,7,11,2192,5378,3869,2084,16.2,39.8,28.6,15.4,4499,24,37733,976.88,20.2102612398657
"01093","AL","Marion",0.873,0.111,12912,11273,1432,0.884,0.106,13786,12190,1457,34.13697363,-87.88704173,1127,31,30058,14880,15178,2.5,91.9,3.2,0.4,0.3,0,23525,35719,2063,21835,1411,17.6,24.1,25.6,16.4,23.7,11.6,22.8,85.3,10.1,0,0.5,1.6,2.4,23.2,11899,77.6,15.8,6.2,0.4,5.5,7,11,4343,7435,6770,2806,20.3,34.8,31.7,13.1,5844,20.2,37887,742.29,40.4936076196635
"01095","AL","Marshall",0.836,0.141,34965,29217,4913,0.838,0.149,39492,33094,5880,34.36975964,-86.30486727,4570,52,94738,46771,47967,13.3,81.8,2.2,0.5,0.6,0.1,65777,41104,1311,22710,717,21,34.1,28.3,15.6,22.1,13.1,20.9,84.8,10.8,0.3,1.3,0.4,2.4,23.9,38456,79.2,13.5,7.2,0.2,6.5,4,5,12151,19818,19442,12233,19.1,31.1,30.5,19.2,17341,18.3,46233,565.84,167.428955181677
"01097","AL","Mobile",0.557,0.419,163387,91087,68429,0.553,0.433,181783,100605,78754,30.78472347,-88.20842409,17298,322,414328,197968,216360,2.8,57.5,35.2,0.6,1.9,0,309967,45802,1034,24347,428,19.3,29.3,32.3,17.7,25.5,9.9,14.7,86.1,7.4,0.5,1.1,0.8,4.1,24.8,173195,82,13.1,4.6,0.2,7.5,2,2,38247,92986,82763,63703,13.8,33.5,29.8,22.9,84539,20.8,43598,1229.44,337.005465903175
"01099","AL","Monroe",0.567,0.423,10185,5771,4310,0.577,0.417,10620,6129,4425,31.56729412,-87.36995001,668,10,21745,10355,11390,1.3,54.5,40.8,1.3,0.5,0,16664,26036,3726,17264,1295,33.7,43.5,28.7,18.5,20.1,14.2,18.5,91.1,3.6,0.3,1.2,1.1,2.7,24.7,6154,75.9,18.9,5.2,0,21.6,7,11,2409,6805,3464,2078,16.3,46.1,23.5,14.1,4560,21.9,39556,1025.68,21.2005693783636
"01101","AL","Montgomery",0.359,0.62,94572,33928,58669,0.336,0.651,98476,33122,64065,32.2206831,-86.20969272,10702,210,227120,107470,119650,3.4,35.2,57.1,0.1,2.4,0,167305,46545,1309,26712,610,20.8,32.1,36.8,18.7,24.5,5.6,14.4,84.8,9,0.7,1.4,0.7,3.4,20.3,100874,73.7,21.8,4.4,0.1,7.6,2,2,21646,38289,41976,48131,14.4,25.5,28,32.1,43567,20.1,49640,784.25,289.601530124323
"01103","AL","Morgan",0.748,0.224,49991,37392,11216,0.739,0.246,53482,39504,13159,34.45500589,-86.85475946,4523,36,119157,58761,60396,8,76.4,12.3,0.5,0.7,0,88176,47529,1678,25013,822,16.6,24.6,30.3,16.2,23.5,10.9,19,89.7,7.1,0.1,0.8,0.8,1.5,24.1,50611,81.9,12.8,5,0.3,6.5,3,2,13706,24350,26356,17849,16.7,29.6,32,21.7,15419,13.2,52797,579.34,205.677149860186
